"ID"	"cluster_gr"	"genes"	"Annotation"
"S_7"	"17"	"OXNAD1"	"Lymphoid cells"
"S_7"	"17"	"RAC2"	"Lymphoid cells"
"S_7"	"17"	"TTC39C"	"Lymphoid cells"
"S_7"	"17"	"OCIAD2"	"Lymphoid cells"
"S_8"	"9"	"LILRA5"	"Monocytes"
"S_8"	"9"	"SLC25A37"	"Monocytes"
"S_8"	"9"	"CFP"	"Monocytes"
"S_8"	"9"	"S100A12"	"Monocytes"
"S_8"	"9"	"CD300E"	"Monocytes"
"S_8"	"9"	"TIMP1"	"Monocytes"
"S_8"	"9"	"APOBEC3A"	"Monocytes"
"S_8"	"9"	"FCN1"	"Monocytes"
"S_8"	"9"	"TREM1"	"Monocytes"
"S_8"	"9"	"SLC11A1"	"Monocytes"
"S_8"	"9"	"VCAN"	"Monocytes"
"S_8"	"9"	"S100A9"	"Monocytes"
"S_8"	"9"	"S100A8"	"Monocytes"
"S_8"	"9"	"CDA"	"Monocytes"
"S_8"	"9"	"THBS1"	"Monocytes"
"S_8"	"9"	"FGR"	"Monocytes"
"S_9"	"10"	"SCT"	"pDC"
"S_9"	"10"	"RGS7"	"pDC"
"S_9"	"10"	"IRF4"	"pDC"
"S_9"	"10"	"VASH2"	"pDC"
"S_9"	"10"	"GPM6B"	"pDC"
"S_9"	"10"	"MAP1A"	"pDC"
"S_9"	"10"	"NME8"	"pDC"
"S_9"	"10"	"PTCRA"	"pDC"
"S_9"	"10"	"PTGDS"	"pDC"
"S_9"	"10"	"AEBP1"	"pDC"
"S_9"	"10"	"CLEC4C"	"pDC"
"S_9"	"10"	"SMPD3"	"pDC"
"S_9"	"10"	"TTC39A"	"pDC"
"S_9"	"10"	"PHEX"	"pDC"
"S_9"	"10"	"MMP23B"	"pDC"
"S_9"	"10"	"PLVAP"	"pDC"
"S_9"	"10"	"PLAC8"	"pDC"
"S_9"	"10"	"RASD1"	"pDC"
"S_9"	"10"	"LILRA4"	"pDC"
"S_9"	"10"	"PTPRS"	"pDC"
"S_9"	"10"	"DNASE1L3"	"pDC"
"S_9"	"10"	"LRRC26"	"pDC"
"S_9"	"10"	"SLC35F3"	"pDC"
"S_9"	"10"	"TPM2"	"pDC"
"S_9"	"10"	"KRT5"	"pDC"
"S_9"	"10"	"TSPAN13"	"pDC"
